Tiempo Total;Max_Cola;Promedio_Espera
271,98;111;4,08
283,77;80;3,23
278,77;60;2,67
276,87;18;1,68
280,12;70;3,69
291,48;26;1,78
273,83;52;3,34
288,83;46;2,84
291,87;26;1,67
309,47;13;0,80
287,88;24;1,51
306,12;40;1,47
282,58;89;3,02
282,53;65;4,21
277,55;153;10,63
285,92;42;2,78
280,58;96;4,66
303,88;5;0,83
292,15;94;4,83
291,08;22;1,60
287,75;24;1,74
287,22;50;2,37
282,47;87;5,18
292,82;35;2,34
287,02;32;2,17
292,82;47;2,54
303,18;31;1,65
292,18;31;1,92
296,88;44;2,13
280,97;69;4,64
280,00;27;2,40
288,70;25;1,76
282,80;31;2,42
290,57;39;2,35
281,62;103;4,09
301,45;19;1,00
299,45;17;1,00
274,90;30;2,42
286,22;61;3,25
283,50;38;2,13
297,85;11;1,25
290,43;89;3,09
291,62;93;2,58
285,07;45;1,73
282,92;31;1,94
293,83;12;1,23
279,42;49;3,16
292,78;68;3,00
303,73;9;0,91
300,93;15;1,12
278,75;79;4,81
274,38;40;3,25
299,52;17;1,69
289,65;80;3,41
288,92;68;2,98
284,80;78;4,62
281,22;43;2,44
283,65;128;6,33
293,90;21;1,49
287,97;50;1,90
308,25;15;1,02
292,15;11;1,01
283,10;28;1,83
298,37;11;1,15
288,48;56;2,66
311,20;14;1,05
282,85;25;2,00
290,53;26;1,52
294,50;43;1,69
287,77;22;2,23
284,55;139;8,56
297,82;36;2,02
290,70;94;2,95
293,65;56;1,88
287,08;76;3,47
282,50;43;2,61
275,95;131;6,78
288,77;44;2,54
276,83;48;3,74
290,18;59;2,87
295,18;32;2,65
279,12;101;3,37
291,02;25;1,79
282,88;41;3,28
280,28;88;4,06
274,72;108;3,91
291,48;29;1,84
293,92;30;2,04
295,20;21;1,98
279,95;30;2,69
282,98;81;3,96
307,07;31;1,39
298,55;34;1,76
293,90;23;1,77
277,68;114;4,91
290,53;45;2,39
283,57;32;2,36
290,05;12;1,23
284,53;38;2,02
288,58;76;3,27
309,27;4;0,70
289,03;15;1,48
289,80;36;2,24
293,23;17;1,48
280,65;144;5,82
285,40;59;4,13
290,58;44;2,47
284,62;99;4,67
